#	Giocatore	Pos	Squadra	Presenze	Titolare	Minuti	Goal	Goal Rig	Ass	Gialli	Rossi	Clean Sheet
429	L. Venturino	Att	GEN	1	0	5	0	0	0	0	0	0
430	N. Nkounkou	Dif	TOR	1	0	23	0	0	0	1	0	0
431	S. Fini	Att	GEN	1	0	31	0	0	0	0	0	0
432	W. Coulibaly	Dif	SAS	1	0	9	0	0	0	0	0	0
433	C. Kouame	Att	FIO	1	0	19	0	0	0	0	0	0
434	D. Berardi	Att	SAS	1	0	31	0	0	0	0	0	0
435	D. Odogu	Dif	MIL	1	0	4	0	0	0	0	0	0
436	E. Dzeko	Att	FIO	1	0	21	0	0	0	0	0	0
437	F. Gatti	Dif	JUV	1	0	3	0	0	0	0	0	0
438	D. Rugani	Dif	JUV	1	0	29	0	0	0	0	0	0
439	A. Dembele	Dif	TOR	1	0	7	0	0	0	0	0	0
440	V. Bayo	Att	UDI	1	0	6	0	0	0	0	0	0
441	L. Skorupski	Por	BOL	1	1	56	0	0	0	0	1	0
442	C. Odenthal	Dif	SAS	1	0	1	0	0	0	0	0	0
