Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
Tana delle Tigri,Angori,D,Pis,5,5
Tana delle Tigri,Zaccagni,C,Laz,26,26
Tana delle Tigri,Pulisic,C,Mil,28,28
Tana delle Tigri,McTominay,C,Nap,26,26
Tana delle Tigri,Zerbin,C,Cre,3,3
Tana delle Tigri,Ilkhan,C,Tor,1,1
Tana delle Tigri,Berisha M.,C,Lec,3,3
Tana delle Tigri,Kaba,C,Lec,1,1
Tana delle Tigri,Atta,C,Udi,6,6
Tana delle Tigri,Bonazzoli,A,Cre,1,1
Tana delle Tigri,Berardi,A,Sas,24,24
Tana delle Tigri,Martinez L.,A,Int,34,34
Tana delle Tigri,Leao,A,Mil,19,19
Tana delle Tigri,Giovane,A,Nap,1,1
puerto rosso blu,Skorupski,P,Bol,10,10
puerto rosso blu,Ravaglia F.,P,Bol,3,3
puerto rosso blu,Pessina Mas.,P,Bol,1,1
puerto rosso blu,Walukiewicz,D,Sas,5,5
puerto rosso blu,Vojvoda,D,Com,6,6
puerto rosso blu,Estupinan,D,Mil,6,6
puerto rosso blu,Cambiaso,D,Juv,15,15
puerto rosso blu,Zemura,D,Udi,3,3
puerto rosso blu,Palestra,D,Cag,4,4
puerto rosso blu,Wesley,D,Rom,14,14
puerto rosso blu,Zaccagni,C,Laz,24,24
puerto rosso blu,McTominay,C,Nap,26,26
puerto rosso blu,Saelemaekers,C,Mil,12,12
puerto rosso blu,Gudmundsson A.,C,Fio,24,24
puerto rosso blu,Folorunsho,C,Cag,9,9
puerto rosso blu,Kaba,C,Lec,2,2
puerto rosso blu,Dele-Bashiru,C,Laz,11,11
puerto rosso blu,Hojholt,C,Pis,1,1
puerto rosso blu,Scamacca,A,Ata,14,14
puerto rosso blu,Esposito Se.,A,Cag,7,7
puerto rosso blu,Thuram,A,Int,31,31
puerto rosso blu,Soulè,A,Rom,20,20
puerto rosso blu,Gueye,A,Udi,1,1
OnlyFans,Sportiello,P,Ata,1,1
OnlyFans,Rossi F.,P,Ata,1,1
OnlyFans,Carnesecchi,P,Ata,14,14
OnlyFans,Gosens,D,Fio,18,18
OnlyFans,Martin,D,Gen,10,10
OnlyFans,Di Lorenzo,D,Nap,14,14
OnlyFans,Mina,D,Cag,7,7
OnlyFans,Terracciano F.,D,Cre,2,2
OnlyFans,Dodò,D,Fio,7,7
OnlyFans,Ebosse,D,Ver,4,4
OnlyFans,Pulisic,C,Mil,28,28
OnlyFans,Zaniolo,C,Udi,15,15
OnlyFans,McTominay,C,Nap,26,26
OnlyFans,Adopo,C,Cag,5,5
OnlyFans,Thuram K.,C,Juv,16,16
OnlyFans,Ilkhan,C,Tor,1,1
OnlyFans,Kaba,C,Lec,1,1
OnlyFans,Tourè I.,C,Pis,6,6
OnlyFans,Berardi,A,Sas,21,21
OnlyFans,Esposito Se.,A,Cag,7,7
OnlyFans,Leao,A,Mil,26,26
OnlyFans,Thuram,A,Int,29,29
OnlyFans,Ambrosino,A,Nap,1,1
Peaky Tunas,Perin,P,Juv,1,1
Peaky Tunas,Pinsoglio,P,Juv,1,1
Peaky Tunas,Di Gregorio,P,Juv,16,16
Peaky Tunas,Hysaj,D,Laz,1,1
Peaky Tunas,Bastoni,D,Int,16,16
Peaky Tunas,Di Lorenzo,D,Nap,14,14
Peaky Tunas,Obert,D,Cag,4,4
Peaky Tunas,Terracciano F.,D,Cre,5,5
Peaky Tunas,Tiago Gabriel,D,Lec,2,2
Peaky Tunas,Angori,D,Pis,5,5
Peaky Tunas,Zaccagni,C,Laz,24,24
Peaky Tunas,Barella,C,Int,14,14
Peaky Tunas,Pulisic,C,Mil,28,28
Peaky Tunas,Zambo Anguissa,C,Nap,16,16
Peaky Tunas,Lovric,C,Udi,9,9
Peaky Tunas,Zarraga,C,Udi,2,2
Peaky Tunas,Konè I.,C,Sas,6,6
Peaky Tunas,Piotrowski,C,Udi,6,6
Peaky Tunas,Simeone,A,Tor,18,18
Peaky Tunas,Martinez L.,A,Int,34,34
Peaky Tunas,Leao,A,Mil,19,19
Peaky Tunas,Ekhator,A,Gen,1,1
Peaky Tunas,Meister,A,Pis,2,2
i fratelli merda,Sportiello,P,Ata,1,1
i fratelli merda,Terracciano,P,Mil,1,1
