Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
puerto rosso blu,Walukiewicz,D,Sassuolo,5,6
puerto rosso blu,Vojvoda,D,Como,6,12
puerto rosso blu,Estupinan,D,Milan,6,3
puerto rosso blu,Zemura,D,Udinese,3,2
puerto rosso blu,Palestra,D,Cagliari,4,15
puerto rosso blu,Wesley,D,Roma,14,16
puerto rosso blu,McTominay,C,Napoli,26,25
puerto rosso blu,Saelemaekers,C,Milan,12,19
puerto rosso blu,Gudmundsson A.,C,Fiorentina,24,17
puerto rosso blu,Folorunsho,C,Cagliari,9,8
puerto rosso blu,Hojholt,C,Pisa,1,2
puerto rosso blu,Scamacca,A,Atalanta,14,22
puerto rosso blu,Esposito Se.,A,Cagliari,7,16
puerto rosso blu,Thuram,A,Inter,31,29
puerto rosso blu,Gueye,A,Udinese,1,2
OnlyFans,Sportiello,P,Atalanta,1,1
OnlyFans,Rossi F.,P,Atalanta,1,1
OnlyFans,Carnesecchi,P,Atalanta,14,17
OnlyFans,Gosens,D,Fiorentina,18,10
OnlyFans,Martin,D,Genoa,10,14
OnlyFans,Di Lorenzo,D,Napoli,14,12
OnlyFans,Mina,D,Cagliari,7,8
OnlyFans,Terracciano F.,D,Cremonese,2,11
OnlyFans,Dodò,D,Fiorentina,7,6
OnlyFans,Ebosse,D,Verona,4,2
OnlyFans,Pulisic,C,Milan,28,31
OnlyFans,Zaniolo,C,Udinese,15,20
OnlyFans,McTominay,C,Napoli,26,25
OnlyFans,Adopo,C,Cagliari,5,6
OnlyFans,Thuram K.,C,Juventus,16,13
OnlyFans,Ilkhan,C,Torino,1,2
OnlyFans,Kaba *,C,Lecce,1,3
OnlyFans,Tourè I.,C,Pisa,6,10
OnlyFans,Berardi,A,Sassuolo,21,21
OnlyFans,Esposito Se.,A,Cagliari,7,16
OnlyFans,Leao,A,Milan,26,30
OnlyFans,Thuram,A,Inter,29,29
OnlyFans,Ambrosino *,A,Napoli,1,2
Peaky Tunas,Perin,P,Juventus,1,3
Peaky Tunas,Pinsoglio,P,Juventus,1,1
Peaky Tunas,Di Gregorio,P,Juventus,16,16
Peaky Tunas,Hysaj,D,Lazio,1,1
Peaky Tunas,Bastoni,D,Inter,16,17
Peaky Tunas,Di Lorenzo,D,Napoli,14,12
