round,fantateam,module,portiere,difensori,centrocampisti,attaccanti,panchina,capitano,vice_capitano,base_total,mod_difesa,mod_capitano,predicted_total
25,ISGOPPAISI2,3-4-3,Milinkovic-Savic V.,Vojvoda;Rrahmani;Kalulu,Paz N.;Calhanoglu;McTominay;Gudmundsson A.,Bonny;Scamacca;Soulè,Svilar;Kean;David;Adopo;Lucumì;Tiago Gabriel;Dodò,Scamacca,Soulè,79.94,0.0,0.0,79.94
25,Imperatori del culo,3-4-3,Maignan,Bastoni;Ostigard;Bellanova,Pulisic;Orsolini;Vergara;Gudmundsson A.,Malen;Martinez L.;Kean,Terracciano;David;Adopo;Tramoni M.;Cambiaso;Tiago Gabriel;Vitik,Martinez L.,Orsolini,81.05,0.0,0.0,81.05
25,Ipa Bali,3-4-3,Maignan,Ramon;Ostigard;Luperto,Pulisic;Paz N.;McTominay;Vergara,Malen;Martinez L.;Berardi,Terracciano;Malinovskyi;Martin;Frattesi;Meister;Bianchetti;Zaragoza,Martinez L.,Berardi,85.76,0.0,0.0,85.76
25,KARABE 1975,4-3-3,Pessina Mas.,Pavlovic;Idrissi R.;Valeri;Zappacosta,Baturina;Zielinski;Karlstrom,Hojlund;Esposito Se.;Scamacca,Skorupski;Colombo;Thorstvedt;Kean;Ederson D.S.;Gudmundsson A.;Marusic,Hojlund,Scamacca,78.09,0.0,0.0,78.09
25,Kung-Fu Pandev,3-5-2,Martinez Jo.,Wesley;Norton-Cuffy;Tiago Gabriel,Paz N.;Vlasic;McKennie;Politano;Conceicao,Hojlund;Soulè,Sommer;Kean;David;Zaragoza;Doig;Pezzella Giu.;Bowie,Hojlund,Soulè,74.8,0.0,0.0,74.8
25,LE 4 M,3-5-2,Di Gregorio,Palestra;Solet;Dumfries,Pulisic;Paz N.;Zielinski;Zaniolo;McKennie,Martinez L.;Hojlund,Perin;Delprato;Martin;Kean;Prati;Okereke;Morata,McKennie,Martinez L.,83.48,0.0,0.0,83.48
25,LEONE,4-3-3,Milinkovic-Savic V.,Kempf;Bisseck;Pavlovic;Bremer,Paz N.;Atta;Saelemaekers,Davis K.;Kilicsoy;Berardi,Meret;Simeone;Wesley;Ederson D.S.;Adopo;Tramoni M.;Cambiaso,Bremer,Pavlovic,82.27,1.0,0.0,83.27
25,Leonte FC,3-4-3,Di Gregorio,Pavlovic;Bremer;Bastoni,Pulisic;McTominay;Vergara;Basic,Martinez L.;Leao;Soulè,Perin;Cancellieri;Estevez;Djimsiti;Stulic;Dodò;Canestrelli,Martinez L.,Bastoni,81.47,0.0,0.0,81.47
25,Lions,3-4-3,Di Gregorio,Kristensen T.;Bellanova;Provstgaard,Pulisic;Paz N.;McTominay;Loftus-Cheek,Douvikas;Thuram;Cancellieri,Perin;Pasalic;Prati;Okereke;Van Der Brempt;Cambiaso;Tiago Gabriel,McTominay,Pulisic,79.57,0.0,0.0,79.57
25,Longobarda,3-4-3,Maignan,Akanji;Vasquez;Cambiaso,Paz N.;McTominay;Vergara;Konè M.,Berardi;Soulè;Solomon,Terracciano;Kean;Dybala;Bondo;Miller L.;Baldanzi;Zemura,Cambiaso,Paz N.,76.56,0.0,0.0,76.56
25,LosPollosHermanos,3-5-2,Maignan,Dimarco;Dumfries;Delprato,Zielinski;McTominay;Atta;Orsolini;Ekkelenkamp,Malen;Raspadori,Terracciano;McKennie;Pinamonti;Bernardeschi;Boga;Bellanova;El Shaarawy,McTominay,Orsolini,83.84,0.0,0.0,83.84
25,Lunarossa,3-4-3,Martinez Jo.,Bartesaghi;Wesley;Mina,Pulisic;Baturina;Paz N.;McTominay,Martinez L.;Hojlund;Yildiz,Sommer;Strefezza;Zerbin;Elmas;Ilkhan;Lazaro;Tiago Gabriel,Martinez L.,Hojlund,84.43,0.0,0.0,84.43
25,MARCIO TEAM,3-4-3,Di Gregorio,Palestra;Obert;Hermoso,Pulisic;Paz N.;McTominay;Orsolini,Malen;Martinez L.;Berardi,Perin;Solomon;Norton-Cuffy;El Shaarawy;Ilkhan;Muharemovic;Gosens,Malen,Palestra,84.64,0.0,0.0,84.64
25,Malmö FF,3-4-3,Di Gregorio,Wesley;De Winter;Buongiorno,McTominay;Modric;Ekkelenkamp;Malinovskyi,Martinez L.;Bonny;Berardi,Perin;Esposito Se.;Terracciano F.;Coulibaly L.;Adopo;Gila;Bellanova,Modric,Martinez L.,79.58,0.0,0.0,79.58
25,Mapoitta,3-4-3,Martinez Jo.,Vojvoda;Valeri;Zappacosta,Paz N.;McTominay;Zaniolo;McKennie,Thuram;Leao;Scamacca,Sommer;Malinovskyi;Moro N.;Boga;Bellanova;Ekhator;Cambiaso,Scamacca,Zaniolo,80.16,0.0,0.0,80.16
25,Nastro Azzurro,3-5-2,Svilar,Gabbia;Obert;Valenti,Pulisic;Baturina;Paz N.;McTominay;McKennie,Malen;Martinez L.,Gollini;Vergara;Kean;Zerbin;David;Prati;Angori,Martinez L.,McTominay,84.69,0.0,0.0,84.69
25,Non troppo cattivi,3-5-2,Svilar,Dimarco;Martin;Norton-Cuffy,Pulisic;Paz N.;McTominay;Orsolini;Prati,Malen;Martinez L.,Perin;Diouf;Bianchetti;Muharemovic;Zemura;Morata;Valentini N.,Martinez L.,Malen,85.27,0.0,0.0,85.27
25,OnlyFans,4-3-3,Carnesecchi,Palestra;Mina;Martin;Terracciano F.,Pulisic;McTominay;Zaniolo,Thuram;Leao;Berardi,Sportiello;Thuram K.;Adopo;Diouf;Ilkhan;Tourè I.;Gosens,Pulisic,McTominay,81.77,1.0,0.0,82.77
25,PEAKY BLINDERS,3-5-2,Di Gregorio,Valeri;Martin;Barbieri,Pulisic;Paz N.;Rabiot;Zaniolo;Sorensen O.,Martinez L.;Hojlund,Perin;Zerbin;David;Adopo;Norton-Cuffy;Bellanova;Pavoletti,Martinez L.,Pulisic,80.78,0.0,0.0,80.78
25,Peaky Tunas,3-4-3,Di Gregorio,Bastoni;Di Lorenzo;Terracciano F.,Pulisic;Paz N.;Barella;Konè I.,Martinez L.;Leao;Yildiz,Perin;Piotrowski;Obert;Meister;Angori;Tiago Gabriel;Lovric,Martinez L.,Paz N.,81.49,0.0,0.0,81.49
25,Pi-Ciaccio,3-4-3,Maignan,Bremer;Mina;Gutierrez,Paz N.;McTominay;Rabiot;Atta,Martinez L.;Douvikas;Esposito Se.,Terracciano;Colombo;Martin;David;Mancini;Prati;Bondo,Martinez L.,McTominay,83.78,0.0,0.0,83.78
25,Piovra73,3-4-3,Maignan,Terracciano F.;Cambiaso;Marcandalli,Paz N.;McTominay;Mazzitelli;Orsolini,Martinez L.;Berardi;Giovane,Terracciano;Vergara;Sorensen O.;Kean;Diouf;Tiago Gabriel;Liteta,Martinez L.,Martinez L.,79.75,0.0,0.0,79.75
25,Plu-Team,3-4-3,Di Gregorio,Bartesaghi;Wesley;Martin,Pulisic;Paz N.;Orsolini;Saelemaekers,Martinez L.;Bonny;Esposito F.P.,Perin;Da Cunha;Adzic;Bernasconi;Zerbin;Bellanova;Gosens,Martinez L.,Orsolini,82.69,0.0,0.0,82.69
25,Pro secco,3-4-3,Maignan,Vojvoda;Zappa;Terracciano F.,Pulisic;Paz N.;McTominay;Vlasic,Martinez L.;Douvikas;Hojlund,Terracciano;Orsolini;Zerbin;Hien;Tiago Gabriel;Aboukhlal;Doig,Martinez L.,Hojlund,84.45,0.0,0.0,84.45
25,ProPro Proibito,3-4-3,Terracciano,Rrahmani;Luperto;Valeri,Paz N.;McTominay;Zaniolo;Vergara,Martinez L.;Kilicsoy;Vardy,Martinez Jo.;Zalewski;David;Thuram K.;Cristante;Meister;Tiago Gabriel,Martinez L.,Paz N.,81.41,0.0,0.0,81.41
