nome,R,RM,club,QA,QI,Delta,FVM,missing
Casale,D,Dc,Bologna,2.0,4,-2,7,0
Castellanos *,A,,Lazio,18.0,0,0,0,1
Castro S.,A,Pc,Bologna,24.0,19,5,68,0
Cataldi,C,M;C,Lazio,12.0,5,7,24,0
Cavlina,P,Por,Como,1.0,1,0,1,0
Ceccherini,D,Dd;Dc,Cremonese,2.0,4,-2,8,0
Celik,D,B;Dd;E,Roma,13.0,7,6,14,0
Cerri *,,,,0.0,0,0,0,1
Cham,D,Dd;Ds;E,Verona,2.0,1,1,6,0
Cheddira,A,Pc,Lecce,6.0,4,2,8,0
Christensen O.,P,Por,Fiorentina,1.0,1,0,1,0
Ciocci,P,Por,Cagliari,1.0,1,0,1,0
Circati,D,Dc,Parma,10.0,5,5,17,0
Coco,D,Dc,Torino,12.0,8,4,18,0
Collocolo,C,M;C,Cremonese,2.0,8,-6,13,0
Colombo,A,Pc,Genoa,14.0,12,2,45,0
Comuzzo,D,Dc,Fiorentina,7.0,7,0,17,0
Conceicao,C,W;A,Juventus,15.0,18,-3,39,0
Contini,P,Por,Napoli,1.0,1,0,1,0
Coppola F.,D,Dc,Pisa,2.0,1,1,4,0
Cornet,C,W,Genoa,1.0,7,-6,5,0
Corvi,P,Por,Parma,12.0,1,11,15,0
Coulibaly L.,C,M;C,Lecce,13.0,7,6,21,0
Coulibaly W.,D,Dd;Ds;E,Sassuolo,1.0,3,-2,4,0
Cremaschi,C,C,Parma,1.0,5,-4,8,0
Cristante,C,M;C,Roma,12.0,9,3,28,0
Cuadrado,D,E,Pisa,8.0,7,1,8,0
Cuenca H.,C,W;T,Genoa,1.0,1,0,1,0
Cutrone,A,Pc,Parma,6.0,10,-4,14,0
Da Cunha,C,C;W;T,Como,11.0,12,-1,18,0
Dallinga,A,Pc,Bologna,8.0,10,-2,12,0
Darmian,D,B;Dd;E,Inter,1.0,4,-3,7,0
David,A,Pc,Juventus,13.0,27,-14,42,0
Davis K.,A,Pc,Udinese,24.0,12,12,73,0
De Bruyne,C,T,Napoli,20.0,23,-3,90,0
De Gea,P,Por,Fiorentina,11.0,14,-3,20,0
De Ketelaere,A,A,Atalanta,17.0,22,-5,77,0
De Roon,C,M;C,Atalanta,8.0,12,-4,26,0
De Silvestri,D,Dd;E,Bologna,2.0,4,-2,8,0
De Vrij,D,Dc,Inter,3.0,9,-6,7,0
De Winter,D,Dd;Dc,Milan,4.0,8,-4,11,0
Deiola,C,M;C,Cagliari,6.0,5,1,14,0
Dele-Bashiru,C,C;T,Lazio,3.0,11,-8,11,0
Delprato,D,B;Dd;E,Parma,9.0,8,1,21,0
Dembelè A.,D,Dd;E,Torino,1.0,1,0,2,0
Denoon,D,Dc,Pisa,1.0,2,-1,4,0
Di Gennaro,P,Por,Inter,1.0,1,0,1,0
Di Gregorio,P,Por,Juventus,16.0,16,0,65,0
Di Lorenzo,D,Dd;E,Napoli,12.0,14,-2,48,0
Di Pardo,D,Dd;E,Cagliari,2.0,2,0,4,0
Dia,A,Pc,Lazio,5.0,20,-15,12,0
Diao,A,W;A,Como,4.0,17,-13,17,0
Diego Carlos,D,Dc,Como,8.0,5,3,22,0
Dimarco,D,E,Inter,29.0,19,10,131,0
Diouf,C,C,Inter,2.0,7,-5,10,0
Djimsiti,D,Dc,Atalanta,5.0,8,-3,15,0
Djuric,A,Pc,Parma,2.0,9,-7,7,0
Dodò,D,E,Fiorentina,6.0,11,-5,25,0
Doig,D,Ds;E,Sassuolo,6.0,6,0,12,0
Dominguez B.,A,W;A,Bologna,4.0,9,-5,12,0
Dossena,D,Dc,Cagliari,1.0,4,-3,5,0
Douvikas,A,Pc,Como,21.0,8,13,42,0
Dovbyk,A,Pc,Roma,15.0,21,-6,12,0
Dumfries,D,E,Inter,10.0,20,-10,25,0
Durosinmi,A,Pc,Pisa,16.0,15,1,51,0
Dybala,A,A,Roma,13.0,26,-13,70,0
Dzeko *,A,Pc,Fiorentina,3.0,15,-12,10,1
Ebosse,D,Ds;Dc,Verona,2.0,4,-2,7,0
Ederson D.S.,C,M;C,Atalanta,10.0,15,-5,31,0
Ehizibue,D,Dd;E,Udinese,3.0,5,-2,8,0
Ekhator,A,A,Genoa,10.0,1,9,11,0
Ekkelenkamp,C,C;T,Udinese,12.0,10,2,19,0
Ekuban,A,A,Genoa,9.0,2,7,11,0
El Aynaoui,C,M;C,Roma,5.0,9,-4,13,0
El Shaarawy,C,W,Roma,8.0,8,0,12,0
Ellertsson,C,C;W,Genoa,11.0,5,6,12,0
Elmas,C,W;T,Napoli,6.0,11,-5,22,0
Esposito F.P.,A,Pc,Inter,18.0,7,11,30,0
Esposito Se.,A,A,Cagliari,16.0,7,9,50,0
Esteves T. *,D,Dd;E,Pisa,1.0,1,0,2,1
Estevez,C,M;C,Parma,5.0,2,3,10,0
Estupinan,D,Ds;E,Milan,3.0,11,-8,11,0
Fabbian,C,C;T,Fiorentina,8.0,10,-2,16,0
Fadera,C,W,Sassuolo,10.0,6,4,14,0
Fagioli,C,C,Fiorentina,8.0,8,0,28,0
Falcone,P,Por,Lecce,15.0,6,9,34,0
Faye,D,Dc,Cremonese,2.0,4,-2,5,0
Fazzini,C,C;T,Fiorentina,3.0,11,-8,8,0
Felici,C,W,Cagliari,12.0,6,6,10,0
Ferguson,C,C;T,Bologna,5.0,11,-6,16,0
Ferguson E.,A,Pc,Roma,16.0,19,-3,32,0
Fernandes S.* *,,,,0.0,0,0,0,1
Ferrante,P,Por,Napoli,1.0,1,0,1,0
Fini,C,E;W,Genoa,2.0,1,1,1,0
Floriani Mussolini,D,Dd;E,Cremonese,4.0,5,-1,10,0
Fofana Sa.,C,M;C,Lecce,1.0,1,0,2,0
Fofana Y.,C,M;C,Milan,10.0,11,-1,27,0
Folino,D,Dc,Cremonese,7.0,4,3,5,0
Folorunsho,C,C;T,Cagliari,8.0,9,-1,16,0
