ID,Giocatore,Posizione,Squadra,Partite giocate
6380,Solomon,A,Fiorentina,5
5496,Johnsen,A,Cremonese,9
6439,Cheddira,A,Lecce,9
7249,Buksa,A,Udinese,12
7252,Stulic,A,Lecce,21
7128,Kuhn,A,Como,11
2155,Cutrone,A,Parma,14
6827,Njie,A,Torino,4
479,Sanabria,A,Cremonese,14
608,Zapata D.,A,Torino,13
6895,Dominguez B.,A,Bologna,9
5672,Dia,A,Lazio,14
6215,Lucca,A,Napoli,9
6159,Sarr A.,A,Verona,22
785,Immobile,A,Bologna,6
6519,Camarda,A,Lecce,16
6653,Bravo,A,Udinese,4
7344,Stojilkovic,A,Pisa,1
5297,Luvumbo,A,Cagliari,10
6967,Diao,A,Como,6
5512,De Luca,A,Cremonese,1
647,Dzeko,A,Fiorentina,8
6207,Almqvist,A,Parma,8
7161,Bayo V.,A,Udinese,8
7183,Aboukhlal,A,Torino,9
313,Morata,A,Como,12
5471,Djuric,A,Cremonese,2
1842,Pierini,A,Sassuolo,4
7158,Moro L.,A,Sassuolo,5
7264,Ambrosino,A,Napoli,1
6555,Moumbagna,A,Cremonese,5
7272,Gueye,A,Udinese,5
7309,Isaac,A,Verona,1
247,Pavoletti,A,Cagliari,3
5515,Okereke,A,Cremonese,2
2762,Kouamè,A,Fiorentina,1
