ID,Giocatore,Posizione,Squadra,Fantamedia
5585,Malen,A,Roma,7.0
4730,Lookman,A,Atalanta,6.4
4923,Colombo,A,Genoa,6.43
2841,Vlahovic,A,Juventus,6.65
5500,Cancellieri,A,Lazio,6.47
6675,Dovbyk,A,Roma,6.83
2038,Pinamonti,A,Sassuolo,6.3
7199,Kilicsoy,A,Cagliari,7.6
2678,Fullkrug,A,Milan,6.7
7313,Ratkov,A,Lazio,5.62
6243,Borrelli,A,Cagliari,6.36
5544,David,A,Juventus,6.61
7120,Lang,A,Napoli,6.32
309,Dybala,A,Roma,6.44
7129,Rodriguez Je.,A,Como,6.29
6164,Vitinha O.,A,Genoa,6.42
7008,Gimenez,A,Milan,5.5
5918,Sulemana K.,A,Atalanta,6.46
7127,Addai,A,Como,6.64
5506,Ekuban,A,Genoa,6.38
6556,Noslin,A,Lazio,6.3
6001,Banda,A,Lecce,6.25
5336,Nzola,A,Sassuolo,6.19
6822,Ekhator,A,Genoa,6.27
7001,N'Dri,A,Lecce,6.56
6981,Vaz,A,Roma,5.75
6145,Ngonge,A,Torino,6.0
6314,Openda,A,Juventus,6.08
6643,Dallinga,A,Bologna,6.04
4359,Piccoli,A,Fiorentina,6.06
6667,Benedyczak,A,Parma,6.3
6836,Meister,A,Pisa,6.06
7249,Buksa,A,Udinese,6.12
441,Belotti,A,Cagliari,8.33
5496,Johnsen,A,Cremonese,6.28
2489,Pedro,A,Lazio,6.5
6630,Mosquera,A,Verona,6.08
6439,Cheddira,A,Lecce,6.11
7252,Stulic,A,Lecce,5.95
6380,Solomon,A,Fiorentina,6.6
7128,Kuhn,A,Como,6.23
2155,Cutrone,A,Parma,5.93
6827,Njie,A,Torino,6.75
479,Sanabria,A,Cremonese,6.11
608,Zapata D.,A,Torino,5.62
6159,Sarr A.,A,Verona,5.66
6895,Dominguez B.,A,Bologna,6.17
5672,Dia,A,Lazio,5.79
6215,Lucca,A,Napoli,6.0
785,Immobile,A,Bologna,5.5
6967,Diao,A,Como,5.75
6519,Camarda,A,Lecce,5.62
6653,Bravo,A,Udinese,6.62
7344,Stojilkovic,A,Pisa,5.5
5297,Luvumbo,A,Cagliari,5.8
5512,De Luca,A,Cremonese,10.0
647,Dzeko,A,Fiorentina,5.56
6207,Almqvist,A,Parma,5.88
7161,Bayo V.,A,Udinese,5.88
7183,Aboukhlal,A,Torino,5.61
313,Morata,A,Como,5.25
5471,Djuric,A,Cremonese,5.5
1842,Pierini,A,Sassuolo,5.88
7158,Moro L.,A,Sassuolo,5.6
7264,Ambrosino,A,Napoli,5.5
6555,Moumbagna,A,Cremonese,5.6
7272,Gueye,A,Udinese,5.5
7309,Isaac,A,Verona,6.0
247,Pavoletti,A,Cagliari,5.83
5515,Okereke,A,Cremonese,6.0
2762,Kouamè,A,Fiorentina,6.0
