ID,Giocatore,Posizione,Squadra,Mediavoto
5506,Ekuban,A,Genoa,5.97
7001,N'Dri,A,Lecce,6.0
5336,Nzola,A,Sassuolo,5.91
6981,Vaz,A,Roma,5.75
4359,Piccoli,A,Fiorentina,5.72
6822,Ekhator,A,Genoa,5.93
2489,Pedro,A,Lazio,6.04
6145,Ngonge,A,Torino,5.82
6314,Openda,A,Juventus,5.85
6643,Dallinga,A,Bologna,5.77
6667,Benedyczak,A,Parma,5.95
6836,Meister,A,Pisa,5.75
6630,Mosquera,A,Verona,5.96
441,Belotti,A,Cagliari,6.33
6380,Solomon,A,Fiorentina,6.0
5496,Johnsen,A,Cremonese,5.83
6439,Cheddira,A,Lecce,5.78
7249,Buksa,A,Udinese,5.92
7252,Stulic,A,Lecce,5.69
7128,Kuhn,A,Como,5.95
2155,Cutrone,A,Parma,5.71
6827,Njie,A,Torino,5.75
479,Sanabria,A,Cremonese,5.89
608,Zapata D.,A,Torino,5.62
6895,Dominguez B.,A,Bologna,5.89
5672,Dia,A,Lazio,5.57
6215,Lucca,A,Napoli,5.72
6159,Sarr A.,A,Verona,5.7
785,Immobile,A,Bologna,5.58
6519,Camarda,A,Lecce,5.66
6653,Bravo,A,Udinese,6.0
7344,Stojilkovic,A,Pisa,5.5
5297,Luvumbo,A,Cagliari,5.8
6967,Diao,A,Como,5.75
5512,De Luca,A,Cremonese,7.0
647,Dzeko,A,Fiorentina,5.62
6207,Almqvist,A,Parma,5.88
7161,Bayo V.,A,Udinese,5.75
7183,Aboukhlal,A,Torino,5.72
313,Morata,A,Como,5.5
5471,Djuric,A,Cremonese,5.75
1842,Pierini,A,Sassuolo,6.0
7158,Moro L.,A,Sassuolo,5.7
7264,Ambrosino,A,Napoli,5.5
6555,Moumbagna,A,Cremonese,5.6
7272,Gueye,A,Udinese,5.6
7309,Isaac,A,Verona,6.0
247,Pavoletti,A,Cagliari,6.0
5515,Okereke,A,Cremonese,6.0
2762,Kouamè,A,Fiorentina,6.0
