Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
DonBosko46,D,Oyegoke,Verona,2.0,1.0
DonBosko46,D,Palma,Udinese,1.0,2.0
DonBosko46,D,Pavlovic,Milan,7.0,15.0
DonBosko46,D,Tiago Gabriel,Lecce,1.0,9.0
DonBosko46,C,Atta,Udinese,8.0,16.0
DonBosko46,C,Berisha M.,Lecce,3.0,13.0
DonBosko46,C,Iannoni,Sassuolo,1.0,5.0
DonBosko46,C,Kaba,Lecce,1.0,3.0
DonBosko46,C,Orsolini,Bologna,31.0,24.0
DonBosko46,C,Politano,Napoli,15.0,11.0
DonBosko46,C,Pulisic,Milan,28.0,31.0
DonBosko46,C,Saelemaekers,Milan,12.0,19.0
DonBosko46,A,Giovane,Verona,1.0,17.0
DonBosko46,A,Hojlund,Napoli,21.0,25.0
DonBosko46,A,Lucca,Napoli,15.0,5.0
DonBosko46,A,Martinez L.,Inter,34.0,34.0
DonBosko46,A,Vlahovic,Juventus,21.0,15.0
Due Amici al Var,P,Di Gregorio,Juventus,16.0,16.0
Due Amici al Var,P,Perin,Juventus,1.0,3.0
Due Amici al Var,P,Sava,Udinese,4.0,1.0
Due Amici al Var,D,Dodò,Fiorentina,11.0,6.0
Due Amici al Var,D,Lazaro,Torino,7.0,7.0
Due Amici al Var,D,Lazzari,Lazio,3.0,4.0
Due Amici al Var,D,Lovik,Parma,3.0,2.0
Due Amici al Var,D,Tiago Gabriel,Lecce,1.0,9.0
Due Amici al Var,D,Tomori,Milan,8.0,7.0
Due Amici al Var,D,Wesley,Roma,14.0,16.0
Due Amici al Var,C,Gineitis,Torino,4.0,4.0
Due Amici al Var,C,Kastanos,Verona,1.0,1.0
Due Amici al Var,C,Malinovskyi,Genoa,7.0,12.0
Due Amici al Var,C,Orsolini,Bologna,31.0,24.0
Due Amici al Var,C,Paz N.,Como,21.0,30.0
Due Amici al Var,C,Pellegrini Lo.,Roma,16.0,14.0
Due Amici al Var,C,Prati,Cagliari,4.0,6.0
Due Amici al Var,C,Pulisic,Milan,28.0,31.0
Due Amici al Var,A,David,Juventus,16.0,13.0
Due Amici al Var,A,De Ketelaere,Atalanta,19.0,17.0
Due Amici al Var,A,Giovane,Verona,1.0,17.0
Due Amici al Var,A,Kean,Fiorentina,33.0,18.0
Due Amici al Var,A,Pavoletti,Cagliari,1.0,1.0
EquipoA,P,De Gea,Fiorentina,14.0,11.0
EquipoA,P,Martinelli T.,Fiorentina,1.0,1.0
EquipoA,P,Milinkovic-Savic V.,Napoli,4.0,19.0
EquipoA,D,Dumfries,Inter,20.0,10.0
EquipoA,D,Nkounkou,Torino,4.0,2.0
EquipoA,D,Palestra,Cagliari,4.0,15.0
EquipoA,D,Ramon,Como,4.0,12.0
EquipoA,D,Rrahmani,Napoli,7.0,13.0
EquipoA,D,Zappacosta,Atalanta,9.0,8.0
EquipoA,D,Zemura,Udinese,4.0,2.0
EquipoA,C,Atta,Udinese,8.0,16.0
EquipoA,C,Ilkhan,Torino,1.0,2.0
EquipoA,C,Kaba,Lecce,1.0,3.0
EquipoA,C,Ndour,Fiorentina,2.0,6.0
EquipoA,C,Orsolini,Bologna,31.0,24.0
EquipoA,C,Paz N.,Como,21.0,30.0
EquipoA,C,Pulisic,Milan,28.0,31.0
EquipoA,C,Zerbin,Cremonese,3.0,6.0
EquipoA,A,Berardi,Sassuolo,21.0,21.0
EquipoA,A,Cancellieri,Lazio,10.0,14.0
EquipoA,A,Leao,Milan,26.0,30.0
EquipoA,A,Martinez L.,Inter,34.0,34.0
